Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,AD/average,Replicate ,Mutant,Condition ,Hour after treatment 
procat_T2h_mit_3,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.719,10.767,0.208,"21,357,508.00","20,792,726.00",0.164308422,3,procat,mit,2
tvrR_T0_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.304,17.249,0.055,"151,936.06","157,840.16",,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.194,17.249,0.055,"163,713.75","157,840.16",,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.248,17.249,0.055,"157,870.66","157,840.16",,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.847,9.131,0.412,"79,138,568.00","66,570,924.00",0.002282319,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,9.604,9.131,0.412,"46,606,848.00","66,570,924.00",0.002459238,1,tvrR ,NA,0
tvrR_T0_1,RMV8_PRCI_AB,UNKNOWN,SYBR,None,8.943,9.131,0.412,"73,967,344.00","66,570,924.00",0.002371466,1,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.64,16.966,0.629,"120,848.27","207,123.11",,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.259,16.966,0.629,"156,640.86","207,123.11",,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_AD,UNKNOWN,SYBR,None,17.403,16.966,0.629,"142,060.84","207,123.11",,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.244,10.299,0.064,"29,771,772.00","28,676,822.00",0.004214145,2,tvrR ,NA,0
tvrR_T0_2,RMV8_PRCI_AB,UNKNOWN,SYBR,None,10.37,10.299,0.064,"27,269,296.00","28,676,822.00",0.005462281,2,tvrR ,NA,0
